session,start,end,seconds,rc
T-001-a1p0,1785155163,1785155586,423,rc=0
T-002-a1p0,1785155589,1785156955,1366,rc=0
T-003-a1p0,1785156959,1785157749,790,rc=0
T-003-sfix,1785157783,1785157986,203,rc=0
T-004-a1p0,1785157986,1785158682,696,rc=0
T-005-a1p0,1785158687,1785159417,730,rc=0
T-006-a1p0,1785159422,1785159694,272,rc=0
T-006-sfix,1785159718,1785160475,757,rc=0
T-007-a1p0,1785160475,1785161628,1153,rc=0
T-007-sfix,1785161654,1785162650,996,rc=0
T-008-a1p0,1785162650,1785163147,497,rc=0
T-009-a1p0,1785163154,1785164295,1141,rc=0
T-010-a1p0,1785164302,1785165292,990,rc=0
T-010-sfix,1785165319,1785165809,490,rc=0
phaseD-a1p0,1785165809,1785166028,219,rc=0
